"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1008","carritoValidacion","Surefire suite","Tue Dec 31 11:26:29 ART 2024","passed","Tue Dec 31 11:26:30 ART 2024","tests.sauceDemo.Home.ProductTest","Surefire test","tests.sauceDemo.Home.ProductTest","carritoValidacion"
"","617","loginLockedUser","Surefire suite","Tue Dec 31 11:26:34 ART 2024","passed","Tue Dec 31 11:26:34 ART 2024","tests.sauceDemo.Login.LoginTest","Surefire test","tests.sauceDemo.Login.LoginTest","loginLockedUser"
"","1382","emptyFirstName","Surefire suite","Tue Dec 31 11:26:19 ART 2024","passed","Tue Dec 31 11:26:20 ART 2024","tests.sauceDemo.CheckoutInfoTest","Surefire test","tests.sauceDemo.CheckoutInfoTest","emptyFirstName"
"","1474","empyLastName","Surefire suite","Tue Dec 31 11:26:21 ART 2024","passed","Tue Dec 31 11:26:23 ART 2024","tests.sauceDemo.CheckoutInfoTest","Surefire test","tests.sauceDemo.CheckoutInfoTest","empyLastName"
"","648","loginWithUsers","Surefire suite","Tue Dec 31 11:26:45 ART 2024","passed","Tue Dec 31 11:26:45 ART 2024","tests.sauceDemo.Login.LoginTest","Surefire test","tests.sauceDemo.Login.LoginTest","loginWithUsers"
"","613","loginWithUsers","Surefire suite","Tue Dec 31 11:26:48 ART 2024","passed","Tue Dec 31 11:26:49 ART 2024","tests.sauceDemo.Login.LoginTest","Surefire test","tests.sauceDemo.Login.LoginTest","loginWithUsers"
"","1","testGrupo","Surefire suite","Tue Dec 31 11:26:28 ART 2024","passed","Tue Dec 31 11:26:28 ART 2024","tests.sauceDemo.GrupoTest","Surefire test","tests.sauceDemo.GrupoTest","testGrupo"
"","1882","completeBuy","Surefire suite","Tue Dec 31 11:26:15 ART 2024","passed","Tue Dec 31 11:26:17 ART 2024","tests.sauceDemo.CheckoutCompleteTest","Surefire test","tests.sauceDemo.CheckoutCompleteTest","completeBuy"
"","1364","empyPostalCode","Surefire suite","Tue Dec 31 11:26:24 ART 2024","passed","Tue Dec 31 11:26:25 ART 2024","tests.sauceDemo.CheckoutInfoTest","Surefire test","tests.sauceDemo.CheckoutInfoTest","empyPostalCode"
"","1477","validatePrice","Surefire suite","Tue Dec 31 11:26:27 ART 2024","passed","Tue Dec 31 11:26:28 ART 2024","tests.sauceDemo.CheckoutOverviewTest","Surefire test","tests.sauceDemo.CheckoutOverviewTest","validatePrice"
"","5615","loginWithUsers","Surefire suite","Tue Dec 31 11:26:38 ART 2024","passed","Tue Dec 31 11:26:43 ART 2024","tests.sauceDemo.Login.LoginTest","Surefire test","tests.sauceDemo.Login.LoginTest","loginWithUsers"
"","620","loginWithUsers","Surefire suite","Tue Dec 31 11:26:46 ART 2024","passed","Tue Dec 31 11:26:47 ART 2024","tests.sauceDemo.Login.LoginTest","Surefire test","tests.sauceDemo.Login.LoginTest","loginWithUsers"
"","877","filterOrder","Surefire suite","Tue Dec 31 11:26:32 ART 2024","passed","Tue Dec 31 11:26:33 ART 2024","tests.sauceDemo.Home.ProductTest","Surefire test","tests.sauceDemo.Home.ProductTest","filterOrder"
"","615","loginWithUsers","Surefire suite","Tue Dec 31 11:26:36 ART 2024","passed","Tue Dec 31 11:26:36 ART 2024","tests.sauceDemo.Login.LoginTest","Surefire test","tests.sauceDemo.Login.LoginTest","loginWithUsers"
